date,Fund_A,Fund_B,Fund_C
2017-04-18,48718326,732108927.55468,544722828
2017-04-19,49123876,732108927.55468,545184613
2017-04-20,49588588,732108927.55468,549031284
2017-04-21,49755499,732108927.55468,545693675
2017-04-24,50628521,732108927.55468,552725725
2017-04-25,51364216,732108927.55468,557809246
2017-04-26,51917459,732108927.55468,557815339
2017-04-27,52530343,732108927.55468,560243981
2017-04-28,52995299,765473067.20835,561198221
2017-05-01,52995299,765473067.20835,565310421
2017-05-02,52995299,765473067.20835,566347177
2017-05-03,54438809,765473067.20835,563137930
2017-05-04,55014311,765473067.20835,519290603
2017-05-05,55978068,765473067.20835,520714267
2017-05-08,56533529,765473067.20835,520137634
2017-05-09,56489951,765473067.20835,520363317
2017-05-10,57222849,765473067.20835,520141018
2017-05-11,57719562,765473067.20835,520922265
2017-05-12,57921679,765473067.20835,526534143
2017-05-15,58443505,765473067.20835,529324219
2017-05-16,59156506,765473067.20835,536972546
2017-05-17,58481706,765473067.20835,528204394
2017-05-18,58858342,765473067.20835,529749860
2017-05-19,59615346,765473067.20835,588513771
2017-05-22,59798269,765473067.20835,593654610
2017-05-23,60430320,765473067.20835,629688651
2017-05-24,60714343,765473067.20835,633227136
2017-05-25,61225620,765473067.20835,644988787
2017-05-26,61527304,765473067.20835,634909035
2017-05-29,61674239,765473067.20835,634909035
2017-05-30,62306649,765473067.20835,633969926
2017-05-31,62925374,827830652.44211,633734495
2017-06-01,63670556,827830652.44211,640040397
2017-06-02,64180214,827830652.44211,622410876
2017-06-05,64384784,827830652.44211,625430519
2017-06-06,64667883,827830652.44211,623767556
2017-06-07,64961872,827830652.44211,601274931
2017-06-08,65668958,827830652.44211,600882864
2017-06-09,66299523,827830652.44211,616459882
2017-06-12,66383283,827830652.44211,615814934
2017-06-13,66852529,827830652.44211,617466412
2017-06-14,67396456,827830652.44211,621111175
2017-06-15,67165266,827830652.44211,616300619
2017-06-16,67597311,827830652.44211,618235652
2017-06-19,68243849,827830652.44211,624554235
2017-06-20,68512911,827830652.44211,618396058
2017-06-21,68739246,827830652.44211,623516419
2017-06-22,69098344,827830652.44211,625192041
2017-06-23,69154968,827830652.44211,627655855
2017-06-26,69551250,827830652.44211,627668789
2017-06-27,69522192,827830652.44211,646934645
2017-06-28,69837784,827830652.44211,652766033
2017-06-29,69842494,827830652.44211,646509655
2017-06-30,70168097,829807703.54088,646010290
2017-07-03,70176923,829807703.54088,644668829
2017-07-04,70214495,829807703.54088,644668829
2017-07-05,70973366,829807703.54088,647913494
2017-07-06,71101415,829807703.54088,650820740
2017-07-07,71471836,829807703.54088,656788701
2017-07-10,71257103,829807703.54088,660336736
2017-07-11,71501491,829807703.54088,660388400
2017-07-12,72036175,829807703.54088,666011919
2017-07-13,72783928,829807703.54088,671124233
2017-07-14,73166048,829807703.54088,673707732
2017-07-17,73645194,829807703.54088,674061729
2017-07-18,74098789,829807703.54088,675902307
2017-07-19,74497813,829807703.54088,680270347
2017-07-20,75544634,829807703.54088,684608214
2017-07-21,75681955,829807703.54088,685695902
2017-07-24,76391929,829807703.54088,689463274
2017-07-25,77069268,829807703.54088,689370735
2017-07-26,77800452,829807703.54088,690713060
2017-07-27,78265486,829807703.54088,689813431
2017-07-28,78421515,829807703.54088,691272249
2017-07-31,79146709,848788712.3596,689704715
2017-08-01,80033228,848788712.3596,685152075
2017-08-02,80456761,848788712.3596,684752136
2017-08-03,80473236,848788712.3596,683895449
2017-08-04,81513693,848788712.3596,685123536
2017-08-07,81579366,848788712.3596,686962675
2017-08-08,82736841,848788712.3596,684914920
2017-08-09,82667305,848788712.3596,685569502
2017-08-10,82864462,848788712.3596,674142090
2017-08-11,86884102,848788712.3596,677169844
2017-08-14,88046744,848788712.3596,682876461
2017-08-15,88353372,848788712.3596,682340057
2017-08-16,89425449,848788712.3596,685163242
2017-08-17,89383744,848788712.3596,674615418
